,4,8,16,32,64,128
153,3141.2521739130434,3157.6438356164385,3221.245029977911,3147.5773809523807,3156.1616766467064,3143.9187817258885
307,3522.4324324324325,3630.3406593406594,3812.370724637681,3712.0518134715026,3733.5824175824177,3670.695710455764
460,3681.4590163934427,3822.2972972972975,4296.334798242109,4028.027972027972,4071.660447761194,4146.278899082568
614,3879.9636363636364,4094.523076923077,4791.962711864407,4439.683333333333,4619.764705882353,4655.158730158731
768,5292.4397668393785,5648.93074433657,5656.644678492239,5658.546139359699,6070.252063015754,5812.2752890173415
921,5835.9280622164615,6172.846950517836,6642.844848484849,6807.972772277228,7132.035773710482,6903.222668810289
