,4,8,16,32,64,128
153,1914.3061224489797,1276.0102040816328,1018.6632653061223,802.6811224489796,819.3316326530612,855.9451530612246
307,1081.5670103092784,710.2551020408163,555.7142857142858,432.2933673469388,433.5676020408163,453.43813775510205
460,820.1458333333335,530.7010309278351,401.5,308.86734693877554,308.79209183673476,323.5491071428571
614,707.9175257731958,441.6770833333334,329.37755102040813,249.71173469387756,249.67091836734693,259.28188775510205
768,618.0204081632653,391.37755102040813,291.3453608247423,213.2396907216495,213.57780612244898,219.9783163265306
921,589.1666666666667,364.1958762886598,265.36082474226805,193.03571428571425,189.11352040816328,195.55229591836738
