,4,8,16,32,64,128
153,6060.3877092922285,4055.54833567347,3209.1578472977126,2531.6280509633566,2586.787923205489,2688.498021706656
307,4012.858491344097,2681.5884307580172,2059.166146788991,1635.5423071488951,1634.0303482180595,1674.4108828355352
460,3263.8318546875003,2183.1713659793813,1658.94717721519,1294.8433918030023,1287.9820654109155,1362.0127066060797
614,3030.9387734904267,2010.4935402131784,1522.1296734693876,1175.8543374895876,1194.9006883961276,1238.2956394284197
768,3292.8924792626726,2194.2130808477236,1577.7475779526135,1193.5565011799777,1282.142100696566,1243.0269185793122
921,3299.475545977012,2155.7360910652924,1642.3028350515465,1254.4629088345862,1377.1974898734832,1326.4716159836066
