,4,8,16,32,64
153,2286.0816326530608,1677.8367346938776,1261.2244897959183,1031.8341836734692,921.1926020408163
307,1421.4285714285713,968.0000000000001,710.3724489795918,563.7602040816327,491.5599489795918
460,1124.0,751.8571428571429,530.25,414.3545918367347,355.1951530612245
614,999.4845360824742,638.5816326530612,442.84693877551024,339.78571428571433,288.33545918367355
768,916.0824742268043,583.1443298969073,396.58673469387764,298.655612244898,256.17729591836735
921,874.7835051546392,546.0918367346939,360.56122448979596,272.9311224489796,225.26785714285717
