,4,8,16,32,64
153,3219.0,3259.0,3316.0,3790.0,3869.0
307,3565.0,3981.0,3717.0,3981.0,4361.0
460,3790.0,4021.0,4172.0,4361.0,5149.0
614,4132.0,4472.0,4700.0,4919.0,5623.0
768,4739.0,5036.0,5330.0,5623.0,6203.0
921,5361.0,5691.0,6318.0,6927.0,7489.0
