,4,8,16,32,64
153,7078.463141632652,5209.381050612245,3912.810244897959,3233.45878137755,2896.533534375
307,4784.244285714286,3344.1108800000006,2513.4397989795916,2048.659480816327,1812.809189043367
460,4008.50996,2802.28435,2049.8192400000003,1664.0397537244899,1462.4130361352043
614,3708.1276082474224,2565.150489285714,1888.5694835714285,1522.4234842857143,1345.7855722576535
768,3871.34621443299,2578.582586597938,1837.2951268877557,1486.6031082908164,1347.6052945408164
921,4067.743298969073,2632.342863367347,1932.5432622448982,1597.82612877551,1425.121055357143
