,4,8,16,32,64,128
153,7702.74,5088.92,3794.87,3267.94,2927.09,2713.7
307,6076.97,3814.06,2694.87,2189.23,1879.25,1696.43
460,5442.65,3398.6,2345.01,1741.8,1473.47,1330.49
614,5252.32,3361.78,2300.54,1651.64,1375.85,1225.52
768,5265.4,3125.18,2145.65,1623.47,1355.6,1233.47
921,5429.01,3556.11,2367.39,1758.67,1440.09,1274.9
