,4,8,16,32,64,128
153,3778.0,3480.0,3514.0,3739.0,3857.0,3968.0
307,3632.0,3817.0,3968.0,4308.0,4438.0,4467.0
460,3739.0,4197.0,4418.0,4496.0,4786.0,4902.0
614,3968.0,4418.0,4755.0,5265.0,5557.0,5663.0
768,4086.0,4457.0,5119.0,5808.0,6325.0,6702.0
921,4230.0,5304.0,6028.0,6842.0,7714.0,8073.0
