,4,8,16,32,64,128
153,2267.1,1513.7,1132.6,940.9,842.1,785.9
307,1751.9,1061.4,720.9,546.8,461.7,418.2
460,1545.9,917.2,582.6,419.6,337.3,297.3
614,1437.0,833.3,505.7,352.8,275.6,236.8
768,1395.8,783.2,479.1,322.2,244.5,204.7
921,1388.6,760.7,453.7,301.3,221.8,182.8
